.imp,variable,variable_label,level,arm,arm_id,n_level,pct_level,weighted_pct_level,min_n_across_arms,min_weighted_pct_across_arms,zero_count_arm_n
3,sofa_total_t0_missing,Baseline SOFA missing,1,3-6h,2,3,0.000925640234495526,0.000648129051554729,1,0.000267738358269628,0
3,sofa_total_t0_missing,Baseline SOFA missing,1,6-12h,3,5,0.000996611520829181,0.000571383537325974,1,0.000267738358269628,0
4,sofa_total_t0_missing,Baseline SOFA missing,0,0-3h,1,3438,0.999709217795871,0.999771783511116,3238,0.999354723534309,0
4,sofa_total_t0_missing,Baseline SOFA missing,0,3-6h,2,3238,0.999074359765505,0.999354723534309,3238,0.999354723534309,0
4,sofa_total_t0_missing,Baseline SOFA missing,0,6-12h,3,5012,0.999003388479171,0.999428837655872,3238,0.999354723534309,0
4,sofa_total_t0_missing,Baseline SOFA missing,1,0-3h,1,1,0.000290782204129107,0.000228216488884168,1,0.000228216488884168,0
4,sofa_total_t0_missing,Baseline SOFA missing,1,3-6h,2,3,0.000925640234495526,0.000645276465690705,1,0.000228216488884168,0
4,sofa_total_t0_missing,Baseline SOFA missing,1,6-12h,3,5,0.000996611520829181,0.00057116234412756,1,0.000228216488884168,0
5,sofa_total_t0_missing,Baseline SOFA missing,0,0-3h,1,3438,0.999709217795871,0.999732218176057,3238,0.999347458019808,0
5,sofa_total_t0_missing,Baseline SOFA missing,0,3-6h,2,3238,0.999074359765505,0.999347458019808,3238,0.999347458019808,0
5,sofa_total_t0_missing,Baseline SOFA missing,0,6-12h,3,5012,0.999003388479171,0.999423134158597,3238,0.999347458019808,0
5,sofa_total_t0_missing,Baseline SOFA missing,1,0-3h,1,1,0.000290782204129107,0.000267781823943372,1,0.000267781823943372,0
5,sofa_total_t0_missing,Baseline SOFA missing,1,3-6h,2,3,0.000925640234495526,0.00065254198019245,1,0.000267781823943372,0
5,sofa_total_t0_missing,Baseline SOFA missing,1,6-12h,3,5,0.000996611520829181,0.000576865841403469,1,0.000267781823943372,0
1,shock_t0_b_num_model,Baseline shock,0,0-3h,1,2907,0.845303867403315,0.864106135888991,2640,0.851829307915847,0
1,shock_t0_b_num_model,Baseline shock,0,3-6h,2,2640,0.814563406356063,0.851829307915847,2640,0.851829307915847,0
1,shock_t0_b_num_model,Baseline shock,0,6-12h,3,4099,0.817022124775762,0.858872542191607,2640,0.851829307915847,0
1,shock_t0_b_num_model,Baseline shock,1,0-3h,1,532,0.154696132596685,0.135893864111009,532,0.135893864111009,0
1,shock_t0_b_num_model,Baseline shock,1,3-6h,2,601,0.185436593643937,0.148170692084154,532,0.135893864111009,0
1,shock_t0_b_num_model,Baseline shock,1,6-12h,3,918,0.182977875224238,0.141127457808393,532,0.135893864111009,0
2,shock_t0_b_num_model,Baseline shock,0,0-3h,1,2907,0.845303867403315,0.864105989988991,2640,0.851832332721402,0
2,shock_t0_b_num_model,Baseline shock,0,3-6h,2,2640,0.814563406356063,0.851832332721402,2640,0.851832332721402,0
2,shock_t0_b_num_model,Baseline shock,0,6-12h,3,4099,0.817022124775762,0.858881750114894,2640,0.851832332721402,0
2,shock_t0_b_num_model,Baseline shock,1,0-3h,1,532,0.154696132596685,0.13589401001101,532,0.13589401001101,0
2,shock_t0_b_num_model,Baseline shock,1,3-6h,2,601,0.185436593643937,0.148167667278598,532,0.13589401001101,0
2,shock_t0_b_num_model,Baseline shock,1,6-12h,3,918,0.182977875224238,0.141118249885106,532,0.13589401001101,0
3,shock_t0_b_num_model,Baseline shock,0,0-3h,1,2907,0.845303867403315,0.864103897355519,2640,0.851832309193019,0
3,shock_t0_b_num_model,Baseline shock,0,3-6h,2,2640,0.814563406356063,0.851832309193019,2640,0.851832309193019,0
3,shock_t0_b_num_model,Baseline shock,0,6-12h,3,4099,0.817022124775762,0.858880804449322,2640,0.851832309193019,0
3,shock_t0_b_num_model,Baseline shock,1,0-3h,1,532,0.154696132596685,0.135896102644481,532,0.135896102644481,0
3,shock_t0_b_num_model,Baseline shock,1,3-6h,2,601,0.185436593643937,0.148167690806981,532,0.135896102644481,0
3,shock_t0_b_num_model,Baseline shock,1,6-12h,3,918,0.182977875224238,0.141119195550678,532,0.135896102644481,0
4,shock_t0_b_num_model,Baseline shock,0,0-3h,1,2907,0.845303867403315,0.864101499892641,2640,0.851832691969424,0
4,shock_t0_b_num_model,Baseline shock,0,3-6h,2,2640,0.814563406356063,0.851832691969424,2640,0.851832691969424,0
4,shock_t0_b_num_model,Baseline shock,0,6-12h,3,4099,0.817022124775762,0.858877834996686,2640,0.851832691969424,0
4,shock_t0_b_num_model,Baseline shock,1,0-3h,1,532,0.154696132596685,0.13589850010736,532,0.13589850010736,0
